T001,Arial,SansSerif,Monotype,1982
T002,ArialBlack,SansSerif,Monotype,1990
T003,AvantGarde,Geometrica,HerbLubalin,1970
T004,Baskerville,Serif,JohnBaskerville,1757
T005,Bauhaus93,Display,URW,1993
T006,BellMT,Serif,RichardAustin,1788
T007,Bembo,Serif,FrancescoGriffo,1495
T008,BerlinSansFB,SansSerif,DavidSiegel,1993
T009,BernardMTCondensed,Display,Monotype,1926
T010,BodoniMT,Serif,GiambattistaBodoni,1798
T011,BookAntiqua,Serif,Monotype,1992
T012,BookmanOldStyle,Serif,AlexanderPhemister,1858
T013,BradleyHand,Script,RichardBradley,1995
T014,BritannicBold,Display,StephensonBlake,1901
T015,Broadway,Display,MorrisFullerBenton,1927
T016,BrushScriptMT,Script,RobertSmith,1942
T017,Calibri,SansSerif,LucasDeGroot,2007
T018,CalistoMT,Serif,RonaldArnholm,1986
T019,Cambria,Serif,JelleBosma,2007
T020,Candara,SansSerif,GaryMunch,2005
T021,Century,Serif,LinnBoydBenton,1894
T022,CenturyGothic,SansSerif,Monotype,1991
T023,CenturySchoolbook,Serif,MorrisFullerBenton,1919
T024,Chiller,Display,AndrewSmith,1995
T025,ColonnaMT,Display,Monotype,1901
T026,ComicSansMS,Casual,VincentConnare,1994
T027,Consolas,Monoespaciada,LucasDeGroot,2004
T028,Constantia,Serif,JohnHudson,2005
T029,CooperBlack,Display,OswaldCooper,1922
T030,CopperplateGothic,Display,FredericGoudy,1901
T031,Corbel,SansSerif,JeremyTankard,2005
T032,CordiaNew,SansSerif,UnityProgress,2000
T033,CourierNew,Monoespaciada,HowardKettler,1955
T034,CurlzMT,Decorativa,CarlCrossgrove,1995
T035,Didot,Serif,FirminDidot,1784
T036,Elephant,Display,MatthewCarter,1991
T037,EngraversMT,Display,RobertWiebking,1899
T038,ErasITC,SansSerif,AlbertBoton,1976
T039,FelixTitling,Display,Monotype,1934
T040,FootlightMTLight,Display,Monotype,1908
T041,FranklinGothic,SansSerif,MorrisFullerBenton,1902
T042,FreesiaUPC,SansSerif,UnityProgress,1998
T043,FrenchScriptMT,Script,Monotype,1989
T044,Futura,Geometrica,PaulRenner,1927
T045,Garamond,Serif,ClaudeGaramond,1540
T046,Georgia,Serif,MatthewCarter,1993
T047,Gigi,Decorativa,Monotype,1997
T048,GillSans,SansSerif,EricGill,1928
T049,GloucesterMTExtraCondensed,Display,Monotype,1897
T050,GoudyOldStyle,Serif,FredericGoudy,1915
﻿T051,Haettenschweiler,Display,WalterHaettenschweiler,1954
T052,HarlowSolidItalic,Script,ColinBrignall,1980
T053,Harrington,Decorativa,SamWang,1987
T054,Helvetica,SansSerif,MaxMiedinger,1957
T055,HighTowerText,Serif,Monotype,1994
T056,Impact,Display,GeoffreyLee,1965
T057,InformalRoman,Script,Monotype,1980
T058,Jokerman,Decorativa,AndrewSmith,1995
T059,JuiceITC,Decorativa,ITC,1990
T060,KristenITC,Casual,GeorgeRyan,1993
T061,KunstlerScript,Script,HansBohn,1902
T062,Leelawadee,SansSerif,Microsoft,2002
T063,LucidaBright,Serif,BigelowHolmes,1985
T064,LucidaCalligraphy,Script,BigelowHolmes,1992
T065,LucidaConsole,Monoespaciada,BigelowHolmes,1993
T066,LucidaFax,Serif,BigelowHolmes,1985
T067,LucidaHandwriting,Script,BigelowHolmes,1992
T068,LucidaSans,SansSerif,BigelowHolmes,1985
T069,LucidaSansUnicode,SansSerif,BigelowHolmes,1993
T070,Magneto,Script,LesUsherwood,1975
T071,MaiandraGD,Humanista,GalapagosDesign,1994
T072,MaturaMTScript,Script,ImreReiner,1938
T073,MicrosoftSansSerif,SansSerif,Microsoft,1994
T074,Mistral,Script,RogerExcoffon,1953
T075,ModernNo20,Serif,Monotype,1897
T076,MonotypeCorsiva,Script,PatriciaSaunders,1995
T077,NiagaraEngraved,Display,Monotype,1967
T078,NiagaraSolid,Display,Monotype,1967
T079,OCRAExtended,Monoespaciada,AmericanTypeFounders,1968
T080,OldEnglishTextMT,Blackletter,Monotype,1880
T081,PalatinoLinotype,Serif,HermannZapf,1949
T082,Papyrus,Decorativa,ChrisCostello,1982
T083,Parchment,Decorativa,Monotype,1998
T084,Perpetua,Serif,EricGill,1929
T085,Playbill,Display,RobertHarbeck,1938
T086,PoorRichard,Script,PaulNerlich,1995
T087,RageItalic,Script,RonZwingelberg,1984
T088,Ravie,Decorativa,KenOBrien,1993
T089,Rockwell,SlabSerif,Monotype,1934
T090,ScriptMTBold,Script,Monotype,1990
T091,SegoeUI,SansSerif,SteveMatteson,2004
T092,ShowcardGothic,Display,JimSpiece,1971
T093,SnapITC,Decorativa,ITC,1992
T094,Stencil,Display,GerryPowell,1937
T095,Sylfaen,Serif,JohnHudson,1998
T096,Tahoma,SansSerif,MatthewCarter,1994
T097,TempusSansITC,SansSerif,PhilipKelly,1997
T098,TimesNewRoman,Serif,StanleyMorison,1932
T099,TrebuchetMS,SansSerif,VincentConnare,1996
T100,Verdana,SansSerif,MatthewCarter,1996
