T001,Arial,SansSerif,Monotype,1982
T002,ArialBlack,SansSerif,Monotype,1990
T003,AvantGarde,Geometrica,HerbLubalin,1970
T004,Baskerville,Serif,JohnBaskerville,1757
T005,Bauhaus93,Display,URW,1993
T006,BellMT,Serif,RichardAustin,1788
T007,Bembo,Serif,FrancescoGriffo,1495
T008,BerlinSansFB,SansSerif,DavidSiegel,1993
T009,BernardMTCondensed,Display,Monotype,1926
T010,BodoniMT,Serif,GiambattistaBodoni,1798
T011,BookAntiqua,Serif,Monotype,1992
T012,BookmanOldStyle,Serif,AlexanderPhemister,1858
T013,BradleyHand,Script,RichardBradley,1995
T014,BritannicBold,Display,StephensonBlake,1901
T015,Broadway,Display,MorrisFullerBenton,1927
T016,BrushScriptMT,Script,RobertSmith,1942
T017,Calibri,SansSerif,LucasDeGroot,2007
T018,CalistoMT,Serif,RonaldArnholm,1986
T019,Cambria,Serif,JelleBosma,2007
T020,Candara,SansSerif,GaryMunch,2005
T021,Century,Serif,LinnBoydBenton,1894
T022,CenturyGothic,SansSerif,Monotype,1991
T023,CenturySchoolbook,Serif,MorrisFullerBenton,1919
T024,Chiller,Display,AndrewSmith,1995
T025,ColonnaMT,Display,Monotype,1901
T026,ComicSansMS,Casual,VincentConnare,1994
T027,Consolas,Monoespaciada,LucasDeGroot,2004
T028,Constantia,Serif,JohnHudson,2005
T029,CooperBlack,Display,OswaldCooper,1922
T030,CopperplateGothic,Display,FredericGoudy,1901
T031,Corbel,SansSerif,JeremyTankard,2005
T032,CordiaNew,SansSerif,UnityProgress,2000
T033,CourierNew,Monoespaciada,HowardKettler,1955
T034,CurlzMT,Decorativa,CarlCrossgrove,1995
T035,Didot,Serif,FirminDidot,1784
T036,Elephant,Display,MatthewCarter,1991
T037,EngraversMT,Display,RobertWiebking,1899
T038,ErasITC,SansSerif,AlbertBoton,1976
T039,FelixTitling,Display,Monotype,1934
T040,FootlightMTLight,Display,Monotype,1908
T041,FranklinGothic,SansSerif,MorrisFullerBenton,1902
T042,FreesiaUPC,SansSerif,UnityProgress,1998
T043,FrenchScriptMT,Script,Monotype,1989
T044,Futura,Geometrica,PaulRenner,1927
T045,Garamond,Serif,ClaudeGaramond,1540
T046,Georgia,Serif,MatthewCarter,1993
T047,Gigi,Decorativa,Monotype,1997
T048,GillSans,SansSerif,EricGill,1928
T049,GloucesterMTExtraCondensed,Display,Monotype,1897
T050,GoudyOldStyle,Serif,FredericGoudy,1915
